Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Bose J,with_noise_20,log_100_1687182078,100,2,[1126],[1133],1.0,7.0,00:00:24,24.56912654824555,0.0103579791518741
Bose WC,with_noise_20,log_100_1687182078,100,2,[1142],[1133],1.0,9.0,00:00:26,26.14539889898151,0.0110225121833817
Bose J,with_noise_20,log_100_1687182078,200,2,[1104],[1133],1.0,29.0,00:00:30,30.40087624453008,0.0128165582818423
Bose WC,with_noise_20,log_100_1687182078,200,2,[1226],[1133],1.0,93.0,00:00:31,31.81298253312707,0.0134118813377432
Bose J,without_noise,log_100_1687182078,300,2,[1196],[1133],1.0,63.0,00:00:24,24.79393751360476,0.0104527561187203
Bose WC,without_noise,log_100_1687182078,300,2,[1196],[1133],1.0,63.0,00:00:14,14.272001825273035,0.0060168641759161
Bose J,with_noise_10,log_100_1687182078,500,2,[846],[1133],,,00:00:31,31.885337355546653,0.0134423850571444
Bose WC,with_noise_10,log_100_1687182078,500,2,[846],[1133],,,00:00:38,38.72942554671317,0.0163277510736564
Bose J,without_noise,log_100_1687182078,600,2,[856],[1133],,,00:00:29,29.86791201494634,0.0125918684717311
Bose WC,without_noise,log_100_1687182078,600,2,[902],[1133],,,00:00:18,18.57176903169602,0.0078295822224688
Bose J,with_noise_10,log_10_1687181929,100,2,[],"[1446, 1821]",,,00:02:35,155.5571743119508,0.0603636687279591
Bose WC,with_noise_10,log_10_1687181929,100,2,[],"[1446, 1821]",,,00:02:24,144.4601733321324,0.0560574983826668
Bose J,with_noise_20,log_10_1687181929,200,2,[1740],"[1446, 1821]",0.6666666666666666,81.0,00:02:40,160.52071026619524,0.0622897595134634
Bose WC,with_noise_20,log_10_1687181929,200,2,[1740],"[1446, 1821]",0.6666666666666666,81.0,00:02:28,148.0413800366223,0.0574471789043935
Bose J,with_noise_10,log_10_1687181929,300,2,"[540, 1782, 2082]","[1446, 1821]",0.4,39.0,00:02:44,164.3625657968223,0.0637805843216229
Bose WC,with_noise_10,log_10_1687181929,300,2,"[1782, 2134]","[1446, 1821]",0.5,39.0,00:03:21,201.71299511846155,0.0782743481251306
Bose J,without_noise,log_10_1687181929,400,2,[1764],"[1446, 1821]",0.6666666666666666,57.0,00:02:51,171.45701905433089,0.0665335735562013
Bose WC,without_noise,log_10_1687181929,400,2,[1596],"[1446, 1821]",0.6666666666666666,150.0,00:03:03,183.429459665902,0.0711794566029887
Bose J,with_noise_20,log_10_1687181929,500,2,[1582],"[1446, 1821]",0.6666666666666666,136.0,00:03:07,187.05771781876683,0.072587395350705
Bose WC,with_noise_20,log_10_1687181929,500,2,[1584],"[1446, 1821]",0.6666666666666666,138.0,00:03:21,201.35304374527183,0.0781346696722048
Bose J,with_noise_20,log_10_1687181929,600,2,"[664, 1826]","[1446, 1821]",0.5,5.0,00:02:34,154.3234743140638,0.0598849337656436
Bose WC,with_noise_20,log_10_1687181929,600,2,[1698],"[1446, 1821]",0.6666666666666666,123.0,00:03:03,183.15393199026585,0.0710725386070104
Bose J,with_noise_10,log_11_1687181931,100,2,[968],[1012],1.0,44.0,00:00:16,16.74075730331242,0.0098765529813052
Bose WC,with_noise_10,log_11_1687181931,100,2,[968],[1012],1.0,44.0,00:00:18,18.613572657108307,0.0109814587947541
